,Gaia period,Name,Nobs,Outliers1,Outliers3,Subtype,Type,mean,mean N,med_sig,median,p16,p84,sem,std,unexplained_variance,window
8637,5.028469286612281,3.1036372088356096e+18,"(20.0, 30.0]",0.25,0.0,T2CEP,CEP,5.027217741264787,30.0,0.0011618411373955034,5.026947754724748,5.0260612191581595,5.028784642912274,0.0004325384043421551,0.0012234033553357867,3.2644201873348195e-08,0.4
8638,5.028469286612281,3.1036372088356096e+18,"(30.0, 50.0]",0.5,0.0,T2CEP,CEP,5.028295158398404,50.0,0.00164070557063373,5.027558060057734,5.026050454394146,5.03166025188048,0.0008888444221491066,0.0025140316732858866,3.3817100418085493e-06,0.4
8639,5.028469286612281,3.1036372088356096e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.4
8640,5.028469286612281,3.1036372088356096e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.001
8641,5.028469286612281,3.1036372088356096e+18,"(20.0, 30.0]",0.25,0.0,T2CEP,CEP,5.028374417803225,30.0,0.0011112944487290297,5.02860283587752,5.026997209865282,5.029404430268241,0.0003866431756763782,0.0010935920456810746,-1.363499180320584e-07,0.001
8642,5.028469286612281,3.1036372088356096e+18,"(30.0, 50.0]",0.5,0.25,T2CEP,CEP,5.027740593976519,50.0,0.0006852197469482357,5.027390909292983,5.0264056413826275,5.029607067289387,0.0005034346262033332,0.0014239281522899667,1.4268782363156152e-06,0.001
8643,5.028469286612281,3.1036372088356096e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.001
8644,5.028469286612281,3.1036372088356096e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.002
8645,5.028469286612281,3.1036372088356096e+18,"(20.0, 30.0]",0.25,0.25,T2CEP,CEP,5.027819909134616,30.0,0.0005561252895845755,5.02731339064721,5.026893315158853,5.029516411211234,0.0004418297500889561,0.0012496832496714338,1.3137803368140328e-06,0.002
8646,5.028469286612281,3.1036372088356096e+18,"(30.0, 50.0]",0.5,0.0,T2CEP,CEP,5.026445934199137,50.0,0.0005132997137603422,5.026578263956873,5.025435819835281,5.027254907331235,0.0002782654332020999,0.0007870534991480684,2.960561278418165e-07,0.002
8647,5.028469286612281,3.1036372088356096e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.002
8648,5.028469286612281,3.1036372088356096e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.004
8649,5.028469286612281,3.1036372088356096e+18,"(20.0, 30.0]",0.25,0.0,T2CEP,CEP,5.028374417803225,30.0,0.0011112944487290297,5.02860283587752,5.026997209865282,5.029404430268241,0.00038664317567632255,0.0010935920456809172,-1.363499180320584e-07,0.004
8650,5.028469286612281,3.1036372088356096e+18,"(30.0, 50.0]",0.5,0.25,T2CEP,CEP,5.02774059397652,50.0,0.0006852197469482357,5.027390909292983,5.0264056413826275,5.029607067289387,0.0005034346262033696,0.0014239281522900697,1.4268782363156152e-06,0.004
8651,5.028469286612281,3.1036372088356096e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.004
8652,5.028469286612281,3.1036372088356096e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.007
8653,5.028469286612281,3.1036372088356096e+18,"(20.0, 30.0]",0.25,0.25,T2CEP,CEP,5.0278199091346165,30.0,0.0005561252895845755,5.02731339064721,5.026893315158853,5.029516411211234,0.00044182975008900537,0.0012496832496715733,1.3137803368140328e-06,0.007
8654,5.028469286612281,3.1036372088356096e+18,"(30.0, 50.0]",0.5,0.0,T2CEP,CEP,5.026445934199137,50.0,0.0005132997137603422,5.026578263956873,5.025435819835281,5.027254907331235,0.00027826543320208714,0.0007870534991480324,2.960561278418165e-07,0.007
8655,5.028469286612281,3.1036372088356096e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.007
8656,5.028469286612281,3.1036372088356096e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.014
8657,5.028469286612281,3.1036372088356096e+18,"(20.0, 30.0]",0.25,0.0,T2CEP,CEP,5.028374417803226,30.0,0.0011112944487290297,5.02860283587752,5.026997209865282,5.029404430268241,0.00038664317567634293,0.0010935920456809748,-1.363499180320586e-07,0.014
8658,5.028469286612281,3.1036372088356096e+18,"(30.0, 50.0]",0.5,0.25,T2CEP,CEP,5.027740593976519,50.0,0.0006852197469482357,5.027390909292983,5.0264056413826275,5.029607067289387,0.000503434626203338,0.0014239281522899802,1.4268782363156152e-06,0.014
8659,5.028469286612281,3.1036372088356096e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.014
8660,5.028469286612281,3.1036372088356096e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.028
8661,5.028469286612281,3.1036372088356096e+18,"(20.0, 30.0]",0.25,0.25,T2CEP,CEP,5.0278199091346165,30.0,0.0005561252895845755,5.02731339064721,5.026893315158853,5.029516411211234,0.00044182975008893056,0.0012496832496713616,1.3137803368140328e-06,0.028
8662,5.028469286612281,3.1036372088356096e+18,"(30.0, 50.0]",0.5,0.0,T2CEP,CEP,5.0264459341991365,50.0,0.0005132997137603422,5.026578263956873,5.025435819835281,5.027254907331235,0.0002782654332020033,0.0007870534991477952,2.960561278418165e-07,0.028
8663,5.028469286612281,3.1036372088356096e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.028
8664,5.028469286612281,3.1036372088356096e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.054
8665,5.028469286612281,3.1036372088356096e+18,"(20.0, 30.0]",0.25,0.0,T2CEP,CEP,5.028374417803226,30.0,0.0011112944487290297,5.02860283587752,5.026997209865282,5.029404430268241,0.00038664317567631306,0.0010935920456808903,-1.363499180320586e-07,0.054
8666,5.028469286612281,3.1036372088356096e+18,"(30.0, 50.0]",0.5,0.25,T2CEP,CEP,5.027740593976519,50.0,0.0006852197469482357,5.027390909292983,5.0264056413826275,5.029607067289387,0.0005034346262033332,0.0014239281522899667,1.4268782363156152e-06,0.054
8667,5.028469286612281,3.1036372088356096e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.054
8668,5.028469286612281,3.1036372088356096e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.106
