,N,Filter,phase,mag,kind,phase bin
384,5,I,0.3843843843843843,12.313746653288424,fast,0.375
385,5,I,0.3853853853853853,12.313938960992946,fast,0.375
386,5,I,0.38638638638638634,12.314168771713678,fast,0.375
387,5,I,0.38738738738738737,12.31443607635992,fast,0.375
388,5,I,0.38838838838838835,12.314740864357798,fast,0.375
389,5,I,0.3893893893893894,12.315083123650709,fast,0.375
390,5,I,0.39039039039039036,12.315462840699773,fast,0.375
391,5,I,0.39139139139139134,12.315880000484388,fast,0.375
392,5,I,0.3923923923923924,12.316334586502812,fast,0.375
393,5,I,0.39339339339339335,12.31682658077282,fast,0.375
394,5,I,0.3943943943943944,12.31735596383242,fast,0.375
395,5,I,0.39539539539539537,12.317922714740611,fast,0.375
396,5,I,0.39639639639639634,12.318526811078222,fast,0.375
397,5,I,0.3973973973973974,12.319168228948797,fast,0.375
398,5,I,0.39839839839839836,12.319846942979535,fast,0.375
399,5,I,0.39939939939939934,12.320562926322298,fast,0.375
400,5,I,0.40040040040040037,12.321316150654676,fast,0.42500000000000004
401,5,I,0.40140140140140135,12.3221065861811,fast,0.42500000000000004
402,5,I,0.4024024024024023,12.322934201634023,fast,0.42500000000000004
403,5,I,0.40340340340340336,12.323798964275165,fast,0.42500000000000004
404,5,I,0.40440440440440434,12.324700839896792,fast,0.42500000000000004
405,5,I,0.4054054054054053,12.325639792823084,fast,0.42500000000000004
406,5,I,0.4064064064064064,12.326615785911542,fast,0.42500000000000004
407,5,I,0.4074074074074074,12.327628780554452,fast,0.42500000000000004
408,5,I,0.40840840840840836,12.328678736680418,fast,0.42500000000000004
409,5,I,0.4094094094094094,12.329765612755944,fast,0.42500000000000004
410,5,I,0.4104104104104104,12.330889365787078,fast,0.42500000000000004
411,5,I,0.41141141141141135,12.332049951321117,fast,0.42500000000000004
412,5,I,0.4124124124124124,12.333247323448354,fast,0.42500000000000004
413,5,I,0.41341341341341337,12.33448143480391,fast,0.42500000000000004
414,5,I,0.4144144144144144,12.335752236569592,fast,0.42500000000000004
415,5,I,0.4154154154154154,12.337059678475832,fast,0.42500000000000004
416,5,I,0.41641641641641636,12.33840370880368,fast,0.42500000000000004
417,5,I,0.4174174174174174,12.33978427438684,fast,0.42500000000000004
418,5,I,0.41841841841841837,12.341201320613777,fast,0.42500000000000004
419,5,I,0.41941941941941935,12.342654791429881,fast,0.42500000000000004
420,5,I,0.4204204204204204,12.344144629339679,fast,0.42500000000000004
421,5,I,0.42142142142142136,12.345670775409113,fast,0.42500000000000004
422,5,I,0.42242242242242234,12.34723316926787,fast,0.42500000000000004
423,5,I,0.4234234234234234,12.348831749111769,fast,0.42500000000000004
424,5,I,0.4244244244244244,12.350466451705207,fast,0.42500000000000004
425,5,I,0.4254254254254254,12.35213721238366,fast,0.42500000000000004
426,5,I,0.4264264264264264,12.353843965056246,fast,0.42500000000000004
427,5,I,0.4274274274274274,12.355586642208324,fast,0.42500000000000004
428,5,I,0.4284284284284284,12.357365174904189,fast,0.42500000000000004
429,5,I,0.4294294294294294,12.359179492789773,fast,0.42500000000000004
430,5,I,0.4304304304304304,12.361029524095446,fast,0.42500000000000004
