kind,N,Filter,phase bin,p_16,p_50,p_84
fast,55,b'zr',0.525,13.2753320476488,13.277220415551945,13.280479638094494
fast,55,b'zr',0.575,13.285081119031897,13.290963326000272,13.298065699162201
fast,55,b'zr',0.625,13.306321641614932,13.315620752454464,13.325869665412561
fast,55,b'zr',0.675,13.336970314846852,13.34877425959031,13.361164484439762
fast,55,b'zr',0.725,13.37402107343037,13.38717210445208,13.400488390383702
fast,55,b'zr',0.775,13.41383992646568,13.427048172009084,13.4399844388306
fast,55,b'zr',0.825,13.452521384426976,13.464491361054154,13.475778801386065
fast,55,b'zr',0.875,13.486271515108907,13.495829190551774,13.50436071625293
fast,55,b'zr',0.925,13.511780057872974,13.517988001781642,13.522926828722794
fast,55,b'zr',0.975,13.526545098701334,13.528794427141081,13.529624253687828
fast,105,I,0.0245,12.471134377529815,12.526719373433501,12.58898870738204
fast,105,I,0.07500000000000001,12.657348775151902,12.730885445700785,12.808867811450927
fast,105,I,0.125,12.890542968679663,12.974818733030776,13.060865509655025
fast,105,I,0.175,13.147844941194524,13.234593912968352,13.320265510694057
fast,105,I,0.225,13.40401815065609,13.484731867784756,13.561625494917237
fast,105,I,0.275,13.633936765703588,13.700698712446286,13.761272533084322
fast,105,I,0.32499999999999996,13.815050042797028,13.86131211282094,13.89962496080813
fast,105,I,0.375,13.92959413509618,13.950818879023739,13.963112975943286
fast,105,I,0.42500000000000004,13.945509584007928,13.960440060601638,13.966135945923973
fast,105,I,0.475,13.84854135062567,13.889231998433042,13.921667287873472
fast,105,I,0.525,13.681719057522805,13.744178880151528,13.79997382475892
fast,105,I,0.575,13.461404871580601,13.539507721126718,13.61318987367704
fast,105,I,0.625,13.209207520323696,13.295292958638287,13.37963546920774
fast,105,I,0.675,12.949862877306682,13.035487522623725,13.122217958269122
fast,105,I,0.725,12.708807832587105,12.78557349837069,12.866185215073896
fast,105,I,0.775,12.509685406506621,12.570062807485936,12.6366492938524
fast,105,I,0.825,12.37202580875562,12.410093043892706,12.456123402991924
fast,105,I,0.875,12.309330887734069,12.321354268668479,12.342313777658694
fast,105,I,0.925,12.30651062878185,12.312550106622936,12.327749850129408
fast,105,I,0.975,12.351855290428649,12.38454408244429,12.425476138011721
fast,105,b'zg',0.0245,14.854390200939566,14.869006936473514,14.881681717276182
fast,105,b'zg',0.07500000000000001,14.892285715898437,14.900677132534792,14.90677933665614
fast,105,b'zg',0.125,14.910013698363638,14.91119559010266,14.911794004952691
fast,105,b'zg',0.175,14.893352821235965,14.901487958337128,14.907324992369828
fast,105,b'zg',0.225,14.85614557809253,14.870549061134618,14.88299368033659
fast,105,b'zg',0.275,14.802828804177633,14.822087919135303,14.839919537622198
fast,105,b'zg',0.32499999999999996,14.738631884222414,14.760857669812005,14.782327337176659
fast,105,b'zg',0.375,14.669851343097939,14.692863862776676,14.71586580362318
fast,105,b'zg',0.42500000000000004,14.603233273734173,14.624775426965085,14.64705357834332
fast,105,b'zg',0.475,14.54531167076675,14.563270572637455,14.582639861893897
fast,105,b'zg',0.525,14.501767567084956,14.514381783053654,14.528942442853312
fast,105,b'zg',0.575,14.476871830076378,14.48290413996754,14.49122804016598
fast,105,b'zg',0.625,14.471993924829786,14.472603394998835,14.473832482389495
fast,105,b'zg',0.675,14.476614163966723,14.482521256906194,14.490724138394192
fast,105,b'zg',0.725,14.501148040139102,14.513653570644138,14.528113529693167
fast,105,b'zg',0.775,14.54439104706537,14.562268454984705,14.581567238322643
fast,105,b'zg',0.825,14.602101849354344,14.623597693188408,14.64584244880065
fast,105,b'zg',0.875,14.668620089745975,14.691626026673642,14.714634957410714
fast,105,b'zg',0.925,14.737421564971662,14.75968114010151,14.78119749743492
fast,105,b'zg',0.975,14.80175812885513,14.821088091518405,14.83900152063395
fast,105,b'zr',0.0245,13.554546543996361,13.574249344999906,13.59384122808854
fast,105,b'zr',0.07500000000000001,13.613130063134138,13.631857914130203,13.649843180012285
fast,105,b'zr',0.125,13.666907933834175,13.682823980661208,13.697438608975359
fast,105,b'zr',0.175,13.710605546339302,13.722148720572754,13.731959287866172
fast,105,b'zr',0.225,13.739936976899026,13.745975107654335,13.750019379586096
fast,105,b'zr',0.275,13.749847524749551,13.75167423822993,13.752189437594291
fast,105,b'zr',0.32499999999999996,13.731460579122405,13.739534429507145,13.745685041901087
fast,105,b'zr',0.375,13.696661960384592,13.709899075116976,13.721537897983474
fast,105,b'zr',0.42500000000000004,13.64886476636875,13.6659668304799,13.68195231158094
fast,105,b'zr',0.475,13.59275701358872,13.612046632398371,13.630810893097426
fast,105,b'zr',0.525,13.533841829937334,13.553427050300797,13.573129665321057
fast,105,b'zr',0.575,13.47789770010518,13.495857575858532,13.514566084801793
fast,105,b'zr',0.625,13.430411703614515,13.44498470469617,13.460864150496832
fast,105,b'zr',0.675,13.396041334284972,13.405798120100076,13.417291024214112
fast,105,b'zr',0.725,13.378157686640433,13.38214129781166,13.388120419919051
fast,105,b'zr',0.775,13.376075264713666,13.376593040774775,13.378514814181562
fast,105,b'zr',0.825,13.382737914161513,13.388947359878813,13.3970776893331
fast,105,b'zr',0.875,13.407053936490314,13.418742696023195,13.432025638998095
fast,105,b'zr',0.925,13.44677654887585,13.462798172127297,13.47993091875497
fast,105,b'zr',0.975,13.49800970121161,13.516792764671772,13.53609491088726
fast,155,I,0.0245,12.551782148425065,12.631441417287954,12.719468673947809
fast,155,I,0.07500000000000001,12.371207781011647,12.42091130242914,12.481291235025388
fast,155,I,0.125,12.291010035683652,12.305882817849241,12.33269327703935
fast,155,I,0.175,12.288249498260287,12.297638120301944,12.319054820936593
fast,155,I,0.225,12.3523190074841,12.396985861404756,12.452591464495658
fast,155,I,0.275,12.518617776464788,12.594181873942578,12.678522503149921
fast,155,I,0.32499999999999996,12.770834986308786,12.869884893594854,12.974688300502116
fast,155,I,0.375,13.084232815703148,13.197053577545143,13.312040495504885
